YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,2,8,21,0
2010,2,8,22,0
2010,2,8,23,0
2010,2,9,0,0
2010,2,9,1,0
2010,2,9,2,0
2010,2,9,3,0
2010,2,9,4,0
2010,2,9,5,0
2010,2,9,6,6.75
2010,2,9,7,102.78
2010,2,9,8,296.02
2010,2,9,9,502.55
2010,2,9,10,681.62
2010,2,9,11,767.67
2010,2,9,12,797.17
2010,2,9,13,720.32
2010,2,9,14,650.35
2010,2,9,15,480.52
2010,2,9,16,267.13
2010,2,9,17,77.77
2010,2,9,18,0
2010,2,9,19,0
2010,2,9,20,0
2010,2,9,21,0
2010,2,9,22,0
2010,2,9,23,0
2010,2,10,0,0
2010,2,10,1,0
2010,2,10,2,0
2010,2,10,3,0
2010,2,10,4,0
2010,2,10,5,0
2010,2,10,6,6.87
2010,2,10,7,113.38
2010,2,10,8,323.2
2010,2,10,9,536.89
2010,2,10,10,704.09
2010,2,10,11,801.52
2010,2,10,12,804.79
2010,2,10,13,703.13
2010,2,10,14,661.85
2010,2,10,15,491.56
2010,2,10,16,273.27
2010,2,10,17,79.66
2010,2,10,18,0
2010,2,10,19,0
2010,2,10,20,0
2010,2,10,21,0
2010,2,10,22,0
2010,2,10,23,0
2010,2,11,0,0
2010,2,11,1,0
2010,2,11,2,0
2010,2,11,3,0
2010,2,11,4,0
2010,2,11,5,0
2010,2,11,6,6.61
2010,2,11,7,117.56
2010,2,11,8,317.81
2010,2,11,9,530.98
2010,2,11,10,697.92
2010,2,11,11,797.23
2010,2,11,12,831.17
2010,2,11,13,795.24
2010,2,11,14,690.77
2010,2,11,15,522.36
2010,2,11,16,303.59
2010,2,11,17,88.92
2010,2,11,18,0
2010,2,11,19,0
2010,2,11,20,0
2010,2,11,21,0
2010,2,11,22,0
2010,2,11,23,0
2010,2,12,0,0
2010,2,12,1,0
2010,2,12,2,0
2010,2,12,3,0
2010,2,12,4,0
2010,2,12,5,0
2010,2,12,6,6.51
2010,2,12,7,108.24
2010,2,12,8,317.75
2010,2,12,9,528.87
2010,2,12,10,690.81
2010,2,12,11,786.98
2010,2,12,12,824.07
2010,2,12,13,732.92
2010,2,12,14,644.59
2010,2,12,15,481.98
2010,2,12,16,255.79
2010,2,12,17,79.33
2010,2,12,18,0
2010,2,12,19,0
2010,2,12,20,0
