YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,9,15,16,183.12
2010,9,15,17,65.91
2010,9,15,18,0
2010,9,15,19,0
2010,9,15,20,0
2010,9,15,21,0
2010,9,15,22,0
2010,9,15,23,0
2010,9,16,0,0
2010,9,16,1,0
2010,9,16,2,0
2010,9,16,3,0
2010,9,16,4,0
2010,9,16,5,0
2010,9,16,6,35.72
2010,9,16,7,192.84
2010,9,16,8,377.62
2010,9,16,9,502.02
2010,9,16,10,580.8
2010,9,16,11,688.21
2010,9,16,12,531.49
2010,9,16,13,462.14
2010,9,16,14,365.14
2010,9,16,15,285.65
2010,9,16,16,123.22
2010,9,16,17,53.41
2010,9,16,18,0
2010,9,16,19,0
2010,9,16,20,0
2010,9,16,21,0
2010,9,16,22,0
2010,9,16,23,0
2010,9,17,0,0
2010,9,17,1,0
2010,9,17,2,0
2010,9,17,3,0
2010,9,17,4,0
2010,9,17,5,0
2010,9,17,6,35.88
2010,9,17,7,187.7
2010,9,17,8,384.14
2010,9,17,9,560.91
2010,9,17,10,701.38
2010,9,17,11,724.27
2010,9,17,12,638.84
2010,9,17,13,529.33
2010,9,17,14,417.99
2010,9,17,15,260.53
2010,9,17,16,117.87
2010,9,17,17,48.14
2010,9,17,18,0
2010,9,17,19,0
2010,9,17,20,0
2010,9,17,21,0
2010,9,17,22,0
2010,9,17,23,0
2010,9,18,0,0
2010,9,18,1,0
2010,9,18,2,0
2010,9,18,3,0
2010,9,18,4,0
2010,9,18,5,0
2010,9,18,6,14.2
2010,9,18,7,129.92
2010,9,18,8,265.77
2010,9,18,9,358.41
2010,9,18,10,441.63
2010,9,18,11,514.49
2010,9,18,12,188.07
2010,9,18,13,117.98
2010,9,18,14,96.44
2010,9,18,15,79.62
2010,9,18,16,44.79
2010,9,18,17,31.49
2010,9,18,18,0
2010,9,18,19,0
2010,9,18,20,0
2010,9,18,21,0
2010,9,18,22,0
2010,9,18,23,0
2010,9,19,0,0
2010,9,19,1,0
2010,9,19,2,0
2010,9,19,3,0
2010,9,19,4,0
2010,9,19,5,0
2010,9,19,6,34.23
2010,9,19,7,220.38
2010,9,19,8,462.73
2010,9,19,9,609.38
2010,9,19,10,672.61
2010,9,19,11,692.7
2010,9,19,12,732.72
2010,9,19,13,638.99
2010,9,19,14,450.7
2010,9,19,15,255.61
2010,9,19,16,152.01
2010,9,19,17,45.92
2010,9,19,18,0
2010,9,19,19,0
2010,9,19,20,0
2010,9,19,21,0
2010,9,19,22,0
2010,9,19,23,0
2010,9,20,0,0
2010,9,20,1,0
2010,9,20,2,0
2010,9,20,3,0
2010,9,20,4,0
2010,9,20,5,0
2010,9,20,6,23.15
2010,9,20,7,197.14
2010,9,20,8,402.02
2010,9,20,9,529.02
2010,9,20,10,681.33
2010,9,20,11,793.05
2010,9,20,12,780.06
2010,9,20,13,653.49
2010,9,20,14,545.08
2010,9,20,15,321.32
2010,9,20,16,128.73
2010,9,20,17,48.4
2010,9,20,18,0
2010,9,20,19,0
2010,9,20,20,0
2010,9,20,21,0
2010,9,20,22,0
2010,9,20,23,0
2010,9,21,0,0
2010,9,21,1,0
2010,9,21,2,0
2010,9,21,3,0
2010,9,21,4,0
2010,9,21,5,0
2010,9,21,6,35.73
2010,9,21,7,184.64
2010,9,21,8,363.02
2010,9,21,9,555.41
2010,9,21,10,729.53
2010,9,21,11,770.46
2010,9,21,12,853.63
2010,9,21,13,746.78
2010,9,21,14,495.64
2010,9,21,15,309.57
2010,9,21,16,166.66
2010,9,21,17,47.55
2010,9,21,18,0
2010,9,21,19,0
2010,9,21,20,0
2010,9,21,21,0
2010,9,21,22,0
2010,9,21,23,0
2010,9,22,0,0
2010,9,22,1,0
2010,9,22,2,0
2010,9,22,3,0
2010,9,22,4,0
2010,9,22,5,0
2010,9,22,6,42.75
2010,9,22,7,245.49
2010,9,22,8,419.44
2010,9,22,9,565.1
2010,9,22,10,719.21
2010,9,22,11,703.89
2010,9,22,12,437.73
2010,9,22,13,287.84
2010,9,22,14,248.41
2010,9,22,15,156.41
2010,9,22,16,92.31
2010,9,22,17,32.02
2010,9,22,18,0
2010,9,22,19,0
2010,9,22,20,0
2010,9,22,21,0
2010,9,22,22,0
2010,9,22,23,0
2010,9,23,0,0
2010,9,23,1,0
2010,9,23,2,0
2010,9,23,3,0
2010,9,23,4,0
2010,9,23,5,0
2010,9,23,6,33.95
2010,9,23,7,195.67
2010,9,23,8,383.84
2010,9,23,9,580.12
2010,9,23,10,718.74
2010,9,23,11,800.09
2010,9,23,12,743.52
2010,9,23,13,650.91
2010,9,23,14,535.31
2010,9,23,15,268.21
2010,9,23,16,166.03
2010,9,23,17,43.77
2010,9,23,18,0
2010,9,23,19,0
2010,9,23,20,0
2010,9,23,21,0
2010,9,23,22,0
2010,9,23,23,0
2010,9,24,0,0
2010,9,24,1,0
2010,9,24,2,0
2010,9,24,3,0
2010,9,24,4,0
2010,9,24,5,0
2010,9,24,6,41.93
2010,9,24,7,215.58
2010,9,24,8,399.41
2010,9,24,9,619.11
2010,9,24,10,708.1
2010,9,24,11,806.77
2010,9,24,12,732.55
2010,9,24,13,645.67
2010,9,24,14,429.2
2010,9,24,15,220.29
2010,9,24,16,166.55
2010,9,24,17,37.34
2010,9,24,18,0
2010,9,24,19,0
